Gender,Track,ParentalEducation,MathScore,ReadingScore,WritingScore
Male,Track C,Bachelor's Degree,55,57,77
Female,Track A,Bachelor's Degree,50,63,67
Female,Track A,Bachelor's Degree,77,77,55
Male,Track B,Associate's Degree,65,80,58
Male,Track A,Bachelor's Degree,90,75,94
Male,Track A,Bachelor's Degree,77,65,72
Female,Track C,High School,52,74,91
Female,Track B,Bachelor's Degree,56,98,91
Female,Track C,Bachelor's Degree,65,94,69
Female,Track C,Associate's Degree,78,57,82
Female,Track A,Associate's Degree,95,52,58
Male,Track B,Associate's Degree,81,51,73
Female,Track B,High School,51,93,50
Female,Track C,Associate's Degree,70,85,73
Female,Track C,High School,60,71,84
Female,Track B,Associate's Degree,85,95,59
Female,Track A,Associate's Degree,70,82,98
Male,Track A,Associate's Degree,79,59,56
Male,Track C,Bachelor's Degree,97,93,65
Female,Track B,Bachelor's Degree,92,80,81
Male,Track B,High School,98,53,85
Male,Track B,Bachelor's Degree,92,96,79
Female,Track C,High School,54,74,60
Female,Track B,Associate's Degree,75,73,68
Male,Track C,Bachelor's Degree,66,57,79
Male,Track C,High School,70,76,95
Female,Track B,High School,97,82,71
Male,Track C,Bachelor's Degree,86,98,84
Male,Track A,Associate's Degree,80,96,68
Male,Track C,High School,71,84,79
Female,Track C,Bachelor's Degree,65,85,71
Female,Track A,Bachelor's Degree,68,53,55
Male,Track C,Bachelor's Degree,62,62,74
Male,Track C,Bachelor's Degree,56,60,99
Male,Track B,Associate's Degree,73,78,58
Male,Track C,Bachelor's Degree,69,90,86
Female,Track C,Bachelor's Degree,75,55,67
Male,Track B,Bachelor's Degree,51,75,79
Female,Track C,High School,58,65,99
Female,Track A,Bachelor's Degree,69,79,94
Female,Track B,Bachelor's Degree,80,78,87
Male,Track B,Bachelor's Degree,74,88,79
Female,Track B,Associate's Degree,70,99,88
Female,Track B,Associate's Degree,78,78,75
Male,Track B,Bachelor's Degree,74,80,74
Male,Track B,Associate's Degree,76,89,88
Female,Track C,High School,95,63,62
Male,Track C,High School,56,79,99
Male,Track C,Associate's Degree,84,97,51
Female,Track B,Associate's Degree,50,88,65
Female,Track B,Bachelor's Degree,53,99,65
Male,Track B,Associate's Degree,89,92,59
Male,Track B,Bachelor's Degree,70,75,82
Female,Track B,Associate's Degree,85,50,68
Male,Track C,High School,80,62,64
Female,Track B,Bachelor's Degree,55,66,78
Female,Track C,High School,99,65,85
Male,Track A,High School,89,79,61
Female,Track A,Associate's Degree,52,81,97
Female,Track A,High School,65,64,71
Male,Track A,Associate's Degree,53,75,65
Female,Track A,Associate's Degree,72,97,76
Male,Track B,Associate's Degree,68,98,68
Female,Track C,Bachelor's Degree,63,53,67
Male,Track A,Bachelor's Degree,83,97,76
Female,Track A,Bachelor's Degree,78,73,56
Male,Track A,High School,88,94,67
Female,Track A,Bachelor's Degree,51,93,70
Female,Track C,Bachelor's Degree,98,55,95
Female,Track A,Bachelor's Degree,63,80,63
Female,Track C,High School,93,95,87
Male,Track A,Bachelor's Degree,74,75,95
Male,Track B,High School,66,73,56
Female,Track C,High School,92,60,81
Female,Track A,Bachelor's Degree,64,59,95
Male,Track B,High School,70,76,57
Male,Track A,High School,65,60,99
